"Type","Code","Name","LEI code","Address"
"AIFM REG","A00000556","SIERRA DE URBASA","213800QYJ2MJFP48J528","15, avenue John F. Kennedy  L-1855 Luxembourg"
"AIFM REG","A00000568","BUYSSE & PARTNERS PRIVATE INVESTMENTS FUND","","12, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM REG","A00000589","SOUTHBRIDGE EUROPE MEZZANINE GP, S.À R.L.","2221001RDZPVVZ5Z6F50","17, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00000607","VALTEC S.A. SICAR","549300NJWZFZZRFY2I77","412F, route d'Esch L-1471 Luxembourg"
"AIFM REG","A00000645","FLAVEO S.A., SICAV-FIS","529900YU5NUCEZC1CP93","3, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000646","BELLECOUR CAPITAL","222100W234IBIBOJ2268","12, rue Eugène Ruppert L-2453 Luxembourg"
"AIFM REG","A00000647","IMMOFINRE II S.C.A. SICAV-FIS","549300K78Y24432W3S72","2, avenue du Blues L-4368 Belvaux"
"AIFM REG","A00000656","FEDERALE MANAGEMENT S.A.","549300RE1SZBCEMPC220","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00000696","QIAM, QUALITY INVESTMENT ASSET MANAGEMENT S.À R.L.","984500B94409FE6DFA20","34, rue Notre-Dame L-2240 Luxembourg"
"AIFM REG","A00000733","GLOBAL IMPACT FUNDS S.C.A., SICAR","5493008WMFEIDK6GPD19","20, rue de la Poste L-2346 Luxembourg"
"AIFM REG","A00000512","MANTRA MANAGEMENT","54930057741PE0UOTO46","3, rue Gabriel Lippmann L-5365 Munsbach"
"AIFM REG","A00000808","TURKISH INVESTMENT INITIATIVE","","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
"AIFM REG","A00000827","QCP GP S. A R.L.","","8, rue Lou Hemmer L-1748 Senningerberg"
"AIFM REG","A00000902","BMS FINANCE (UK) S.A R.L.","","3, rue Gabriel Lippmann L-5365 Luxembourg"
"AIFM REG","A00000963","ANTON CAPITAL ENTERTAINMENT GP, S.À R.L.","","24, rue Astrid L-1143 Luxembourg"
"AIFM REG","A00000964","EUROPEAN INITIATIVE ON CLEAN, RENEWABLE ENERGY, ENERGY EFFICIENCY AND CLIMATE CHANGE RELATED TO DEVELOPMENT SICAV, SIF","","15, boulevard F.W. Raiffeisen L-2411 Luxembourg"
